n_epochs,train_batch_size,learning_rate,training_time,train_loss,test_loss
3.0,32.0,0.01,1.3730007,0.14325354993343353,0.0793849256515503
3.0,32.0,0.05,1.3720481833333333,0.03853950649499893,0.04157609281539917
3.0,32.0,0.1,1.59467325,0.1454990655183792,0.04014075781504313
3.0,64.0,0.01,1.1680557,0.1534464806318283,0.11357662035624186
3.0,64.0,0.05,1.1508424666666668,0.1867169737815857,0.05813995164235433
3.0,64.0,0.1,1.1391480333333335,0.046936050057411194,0.045754051526387535
3.0,128.0,0.01,0.8466104,0.1455094963312149,0.17204555842081706
3.0,128.0,0.05,0.89318245,0.17752155661582947,0.0728211996714274
3.0,128.0,0.1,0.8621522166666666,0.06071317568421364,0.07223837820688883
3.0,256.0,0.01,0.6947167333333333,0.5114369988441467,0.32060177103678383
3.0,256.0,0.05,0.70152375,0.14288054406642914,0.11375244204203287
3.0,256.0,0.1,0.6929021833333333,0.14880289137363434,0.08592621905008951
5.0,32.0,0.01,2.534507533333333,0.10294608026742935,0.05506913315455119
5.0,32.0,0.05,2.4985367999999997,0.02456376701593399,0.03418766450881958
5.0,32.0,0.1,2.52532355,0.10117095708847046,0.03653632462819417
5.0,64.0,0.01,1.8466148666666666,0.21253469586372375,0.08524752807617188
5.0,64.0,0.05,1.8383002166666667,0.15659810602664948,0.041440372816721596
5.0,64.0,0.1,1.8365563,0.03394016623497009,0.03409115091959635
5.0,128.0,0.01,1.3919561333333335,0.22701768577098846,0.13840242055257163
5.0,128.0,0.05,1.4701683166666666,0.1622687727212906,0.06032423165639242
5.0,128.0,0.1,1.5239844333333332,0.0328386165201664,0.03853761831919352
5.0,256.0,0.01,1.1852713833333333,0.3500858247280121,0.22964893163045247
5.0,256.0,0.05,1.23829485,0.09427044540643692,0.08132238121032714
5.0,256.0,0.1,1.2205010333333335,0.10333943367004395,0.058402135340372724
7.0,32.0,0.01,3.0112534833333333,0.01689326949417591,0.048850881131490075
7.0,32.0,0.05,3.045217716666667,0.007325267884880304,0.028788620297114053
7.0,32.0,0.1,3.2151569833333338,0.12672972679138184,0.03065281516710917
7.0,64.0,0.01,2.2847592333333333,0.026221223175525665,0.0749309325536092
7.0,64.0,0.05,3.4600391000000004,0.07653801888227463,0.03102256226539612
7.0,64.0,0.1,2.360062166666667,0.12813463807106018,0.028748666381835937
7.0,128.0,0.01,1.8467073333333335,0.10059993714094162,0.10972757161458334
7.0,128.0,0.05,1.8547690000000001,0.050520431250333786,0.0459190011660258
7.0,128.0,0.1,1.8286433666666668,0.13205276429653168,0.03605110375086466
7.0,256.0,0.01,1.4330433833333334,0.35616081953048706,0.1830421127319336
7.0,256.0,0.05,1.49337535,0.08003462105989456,0.06568393821716309
7.0,256.0,0.1,1.4936905666666667,0.0814637839794159,0.04441049238840739
